1816	40.049999
1817	39.18
1818	38.549999
1819	37.279999
1820	39.23
1821	39.84
1822	38.310001
1823	39.990002
1824	39.16
1825	38.529999
1826	37.759998
1827	39.360001
1828	37.560001
1829	39.400002
1830	39.59
1831	39.689999
1832	35.830002
1833	38.84
1834	35.040001
1835	39.48
1836	41.959999
1837	39.380001
1838	39.330002
1839	40.919998
1840	40.380001
1841	40.68
1842	39.990002
1843	40.759998
1844	42.299999
1845	43.580002
1846	40.66
1847	40.419998
1848	40.290001
1849	35.919998
1850	43.279999
1851	41.77
1852	41.310001
1853	42.52
1854	36.130001
1855	37.529999
1856	40.150002
1857	39.560001
1858	39.669998
1859	35.27
1860	43.32
1861	40.419998
1862	42.669998
1863	41.720001
1864	41.970001
1865	40.119999
1866	41.810001
1867	42.32
1868	40.209999
1869	41.130001
1870	36.389999
1871	29.58
1872	42.630001
1873	41.759998
1874	44.299999
1875	43.119999
1876	43.509998
1877	44.290001
1878	43.310001
1879	43.950001
1880	42.689999
1881	43.490002
1882	43.080002
1883	43.209999
1884	42.43
1885	43.900002
1886	43.099998
1887	43.689999
1888	44.07
1889	45.490002
1890	43.32
1891	44.07
1892	43.509998
1893	43.509998
1894	45.450001
1895	45.130001
1896	47.490002
1897	47.860001
1898	45.919998
1899	45.150002
1900	45.009998
1901	46.93
1902	47.959999
1903	48.369999
1904	48.029999
1905	48.299999
1906	47.68
1907	48.240002
1908	49.27
1909	49.959999
1910	51.330002
1911	48.130001
1912	51.57
1913	51.310001
1914	38.200001
1915	36.25
1916	40.220001
1917	43.080002
1918	34.84
1919	47.599998
1920	51.529999
1921	52.619999
1922	54.849998
1923	54.59
1924	55.209999
1925	54.330002
1926	53.970001
1927	55.740002
1928	55.380001
1929	54.23
1930	56.830002
1931	56.889999
1932	57.220001
1933	57.66
1934	58.32
1935	58.290001
1936	58.779999
1937	59.139999
1938	58.950001
1939	59.59
1940	49.549999
1941	57.66
1942	57.41
1943	53.330002
1944	47.200001
1945	54.939999
1946	62.349998
1947	63.939999
1948	65.800003
1949	64.889999
1950	66.233
1951	66.506
1952	67.037
1953	67.538
1954	68.009
1955	68.45
1956	68.86
1957	69.239
1958	69.586
1959	69.9
1960	70.181
1961	70.427
1962	70.64
1963	70.823
1964	70.984
1965	71.131
1966	71.271
1967	71.411
1968	71.561
1969	71.723
1970	71.904
1971	72.106
1972	72.323
1973	72.552
1974	72.79
1975	73.033
1976	73.276
1977	73.515
1978	73.749
1979	73.978
1980	74.204
1981	74.433
1982	74.67
1983	74.918
1984	75.176
1985	75.442
1986	75.713
1987	75.984
1988	76.249
1989	76.508
1990	76.757
1991	76.997
1992	77.229
1993	77.457
1994	77.681
1995	77.902
1996	78.12
1997	78.338
1998	78.557
1999	78.779
2000	79.008
2001	79.246
2002	79.496
2003	79.755
2004	80.021
2005	80.291
2006	80.558
2007	80.819
2008	81.067
2009	81.299
2010	81.508
2011	81.692
2012	81.852
2013	81.992
2014	82.114
2015	82.224
2016	82.328
2017	82.432
2018	82.541
2019	82.659
